"编号","开始答题时间","结束答题时间","答题时长","1.输入您的被试编号","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E1（加载时可移动+渐进呈现）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E2（不可移动+渐进呈现）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E3（加载时可移动+加载完毕呈现）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:E4（加载时不可移动+加载完毕呈现）","3.如果你在真实线上虚拟展厅中浏览展品，你最希望使用哪一种加载方式？","4.为什么？（请简单说明你最希望使用该加载方式的原因）","5.请简单说明你最不喜欢的一种加载方式，以及原因。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"33","14-Jun-2026 16:44:37","14-Jun-2026 16:46:12","95","B004","1","3","2","4","1","E1 让我感觉我真的在一个展厅里面漫游而不是被动干等着，会让我比较有掌控感，而且也能提前看到模型","E4 不能动也没法看到展品，让我非常无聊，而且我不知道加载完毕的模型具体对应的位置和姿态","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"32","14-Jun-2026 16:16:00","14-Jun-2026 16:30:40","880","B003","1","2","3","4","1","E1可以直接看到展品，让我觉得比较舒服，然后也可以动","E4 太无聊了，不能动，也看不见展品，掌控感很弱，模型出现也很突兀","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"31","14-Jun-2026 16:14:56","14-Jun-2026 16:15:57","61","B002","1","3","2","4","1","E1可以移动，多角度观察，然后也能提前看到雕像长什么样子比较好","E4三角锥看起来很丑很奇怪，最重要的是不让我移动我很不爽","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"30","14-Jun-2026 13:56:55","14-Jun-2026 15:57:02","7207","B001","1","2","3","4","1","可移动让我感觉比较自由，然后也可以渐进看到展品可以提前知道它的样子","E4 太受限制了，也不能动也不知道后面模型是什么","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"29","14-Jun-2026 13:17:32","14-Jun-2026 13:56:41","2349","A031","2","1","3","4","2","E2：我觉得E2有个半透明的黑色效果能让我清晰的集中注意力审题，看上方UI提示更清晰更直观，E1没有黑屏我反而没注意到上面的UI提示；","E4：不能自由转动视角，三角锥切换成展品的时候会让我觉得很突兀；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"28","13-Jun-2026 18:02:20","13-Jun-2026 18:08:07","347","A041","1","2","3","4","1","E1：我立马就能看到，我只要等他加载就行了，加载的过程中可以调整角度看清细节；","E4：看起来三角锥很丑，而且我也不知道加载完出现什么，给我一种未知感；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"27","13-Jun-2026 16:56:45","13-Jun-2026 17:28:49","1924","A030","2","1","4","3","2","E2：逐渐呈现让等待过程没那么无聊，在我的认知里加载的时候不能动所以我更适应这一种，","E3：先看到三角锥在看到模型让我感觉等了很久；","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"26","13-Jun-2026 16:54:29","13-Jun-2026 16:56:31","122","A029","1","2","3","4","1","E1：自由度比较高，能理解正在加载；","E4：模型难看，加载时候操作受限制；","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"25","13-Jun-2026 15:32:08","13-Jun-2026 16:13:42","2494","A028","1","3","2","4","1","E1：加载的时候可移动让我感觉可以从更全面的角度进行观察，然后由于任务设置，看到模型的时候会让我先注意他的各个部位；因为可以自由的观察，所以我也比较兴奋，希望可以从更短的时间发现任务目标；","E4：加载过程不是渐进的，任务标题却提前展示，我没法提前看任务目标，这种方式让我觉得有些循规蹈矩有些无聊；","简体中文","未清洗","","中国","广东省","广州市","","200***********************************","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"24","13-Jun-2026 15:28:36","13-Jun-2026 15:31:55","199","A027","1","2","3","4","1","E1：能移动的比较有趣，只是看着就有点无聊，而且渐进的感觉好玩一些；
我更喜欢慢慢变清晰这个特点，因为可以让我提前看到雕像的大概位置与形态；","E4: 加载完毕呈现感觉很无聊，不可移动只能站在那里，然后也只能看三角锥什么也没有；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
