"编号","开始答题时间","结束答题时间","答题时长","1.输入您的被试编号","2.请按整体体验从好到差排序刚刚体验的所有加载方式:A（黑屏加载）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:A+（黑屏加载+图片+进度条）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:B（悬浮卡片加载）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:C（渐进可用加载）","2.请按整体体验从好到差排序刚刚体验的所有加载方式:C-（渐进加载但无进度条）","3.如果你在真实线上虚拟展厅中浏览展品，你最希望使用哪一种加载方式？","4.为什么？（请简单说明你最希望使用该加载方式的原因）","5.请简单说明你最不喜欢的一种加载方式，以及原因。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"34","14-Jun-2026 16:39:18","14-Jun-2026 16:40:34","76","B004","5","3","1","2","4","3","B可以融入环境让我觉得没有那么突兀，我的体验没有断层，而且也有进度条指示让我不会那么没有掌控感","A 黑屏转圈让我无法理解系统正在做什么，我还以为是出bug了","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"33","14-Jun-2026 16:16:03","14-Jun-2026 16:25:22","559","B003","5","4","3","1","2","4","C可以让我直观了解展品进度和外形，等待的时候也可以查看让我没那么无聊","A 转圈圈看起来太无聊了。而且让我很犯困，也不知道接下来会发生什么","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"32","14-Jun-2026 16:13:21","14-Jun-2026 16:14:53","92","B002","5","4","1","2","3","3","B:他不会打断我的沉浸感，然后看起来也比较有意思","A：没有进度提示，也不能移动，非常无聊","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"31","14-Jun-2026 13:56:56","14-Jun-2026 15:50:52","6836","B001","5","4","3","1","2","4","C比较好用，渐进呈现让我感觉可以更快的使用它","A 因为只能干等着啥也干不了，太无聊了掌控感很弱","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"30","14-Jun-2026 13:17:30","14-Jun-2026 13:40:58","1408","A031","5","3","1","2","4","3","B：他在加载的时候时候是互动式的可以自由活动视角上下查看展品图片；","A：黑屏转圈圈让我感觉等待时间很长很无聊，看不到任何东西和信息；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"29","13-Jun-2026 17:29:03","13-Jun-2026 17:53:32","1469","A041","5","2","1","3","4","3","B: 感觉有趣一些，悬浮在场景中，我同时还能知道接下来看到什么展品，也不会像黑屏那样打断我操作；","A：转圈加载让我不知道接下来会发生什么，我的掌控感很弱， 也不知道进度；感觉加载时间也很长；","简体中文","未清洗","","中国","广东省","广州市","","183***********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"28","13-Jun-2026 17:13:43","13-Jun-2026 17:17:23","220","A030","5","4","3","2","1","5","C-：可以提前看到展品的外形，渐渐呈现在我面前；有一种惊喜和探索的感觉；有了进度条反而让我觉得一直在等，会让我感觉等了很久，没有的就会让觉得不用等那么久；","A：我不知道这是电脑卡住了还是系统在加载，太单调了我不喜欢；","简体中文","未清洗","","中国","广东省","广州市","","183**********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"27","13-Jun-2026 16:39:08","13-Jun-2026 16:44:01","293","A029","4","2","1","3","5","3","B：图片可以完整看到展品，加载完成后出现的3D模型有个眼前一亮的感觉；","C-：没有表明加载过程，没有加载完成的模型让人误以为是模型出错，缺少进度条让我无法理解系统是出错了还是在加载；","简体中文","未清洗","","中国","广东省","广州市","","200***********************************","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"26","13-Jun-2026 15:32:09","13-Jun-2026 15:59:21","1632","A028","5","4","3","1","2","4","C：能提前看到展品是什么形态和类型的，我能看到进度条的过程中也会有期待感，期待最终的展品细节与花纹；","A：因为看不见进度条也不知道什么时候才能出来，也不知道是什么类型，因为是黑屏重复转圈圈也很疲惫很烦躁；","简体中文","未清洗","","中国","广东省","广州市","","200***********************************","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
"25","13-Jun-2026 15:14:03","13-Jun-2026 15:17:30","207","A027","5","3","1","2","4","3","B: 我觉得他看起来让人比较有兴趣，打在屏幕上感觉有些小，放在卡片里面有一种高级感看起来也比较大；","A：太无趣的，屏幕都是黑的，也不知道接下来发生什么；","简体中文","未清洗","","中国","广东省","广州市","","121*********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0","",
